Rk,Team,W ,L,OL,PTS,PTS%,GF,GA,TG/G,PK%,S,S%,SA,SV%
1,New York Rangers*,53,22,7,113,0.689,248,187,5.41,84.26,2582,9.6,2418,0.923
2,St. Louis Blues*,51,24,7,109,0.665,239,197,5.48,83.66,2535,9.4,2233,0.912
3,Anaheim Ducks*,51,24,7,109,0.665,228,221,5.63,81.02,2458,9.3,2367,0.907
4,Montreal Canadiens*,50,22,10,110,0.671,214,184,5,83.66,2334,9.2,2470,0.926
5,Tampa Bay Lightning*,50,24,8,108,0.659,259,206,5.77,83.66,2428,10.7,2287,0.91
6,Chicago Blackhawks*,48,28,6,102,0.622,220,186,5.1,83.41,2777,7.9,2477,0.925
7,Vancouver Canucks*,48,29,5,101,0.616,236,220,5.66,85.71,2453,9.6,2446,0.91
8,Nashville Predators*,47,25,10,104,0.634,226,202,5.37,80.77,2614,8.6,2317,0.913
9,New York Islanders*,47,28,7,101,0.616,245,224,5.88,77.88,2771,8.8,2321,0.903
10,Minnesota Wild*,46,28,8,100,0.61,227,198,5.27,86.32,2522,9,2265,0.913
11,Washington Capitals*,45,26,11,101,0.616,237,199,5.43,81.2,2419,9.8,2368,0.916
12,Calgary Flames*,45,30,7,97,0.591,237,213,5.57,80.65,2252,10.5,2391,0.911
13,Detroit Red Wings*,43,25,14,100,0.61,231,211,5.56,80.9,2429,9.5,2322,0.909
14,Ottawa Senators*,43,26,13,99,0.604,232,208,5.52,82.88,2539,9.1,2635,0.921
15,Winnipeg Jets*,43,26,13,99,0.604,223,204,5.37,81.82,2439,9.1,2350,0.913
16,Pittsburgh Penguins*,43,27,12,98,0.598,217,204,5.26,84.84,2594,8.4,2401,0.915
17,Columbus Blue Jackets,42,35,5,89,0.543,227,248,5.93,80.2,2366,9.6,2742,0.91
18,Boston Bruins,41,27,14,96,0.585,209,201,5.17,81.97,2546,8.2,2449,0.918
19,Dallas Stars,41,31,10,92,0.561,257,257,6.35,80.71,2558,10,2454,0.895
20,Los Angeles Kings,40,27,15,95,0.579,218,197,5.18,80.93,2536,8.6,2214,0.911
21,San Jose Sharks,40,33,9,89,0.543,224,226,5.61,78.48,2591,8.6,2436,0.907
22,Colorado Avalanche,39,31,12,90,0.549,209,223,5.44,84.65,2286,9.1,2719,0.918
23,Florida Panthers,38,29,15,91,0.555,198,213,5.23,80,2516,7.9,2424,0.912
24,Philadelphia Flyers,33,31,18,84,0.512,212,223,5.48,77.07,2413,8.8,2481,0.91
25,New Jersey Devils,32,36,14,78,0.476,176,209,4.84,80.6,2008,8.8,2518,0.917
26,Carolina Hurricanes,30,41,11,71,0.433,183,219,5.05,84.74,2524,7.3,2236,0.902
27,Toronto Maple Leafs,30,44,8,68,0.415,206,257,5.77,80.45,2397,8.6,2748,0.906
28,Edmonton Oilers,24,44,14,62,0.378,193,276,5.87,76.71,2331,8.3,2464,0.888
29,Arizona Coyotes,24,50,8,56,0.341,165,267,5.39,76.7,2393,6.9,2722,0.902
30,Buffalo Sabres,23,51,8,54,0.329,153,269,5.3,75.1,1984,7.7,2920,0.908
